#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1206\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
30,34.967,21,1
35.167,35.867,17,2
36,36.733,6,3
36.933,37.4,17,4
37.5,39.833,3,5
39.933,53.933,17,6
54.767,57.8,17,7
66.667,67.2,24,10
67.367,68.2,8,11
68.833,69.667,24,12
69.733,71.6,17,13
71.9,81.267,6,14
92.967,93.733,3,16
93.967,94.7,17,17
94.767,95.133,15,18
102.3,102.63,3,19
109.33,111.37,16,21
111.67,112.27,3,22
113.23,113.9,3,23
114.8,115.77,16,24
115.83,116.17,24,25
116.23,117.83,17,26
118.03,118.33,16,27
118.4,120.93,17,28
122.67,123.6,3,29
123.63,126.3,6,30
126.53,126.93,13,31
127,131.3,12,32
131.53,132.6,6,33
132.67,134.33,12,34
134.67,136.07,6,35
141.9,147.2,12,37
147.6,147.97,13,38
149.83,154.07,18,40
154.13,171.17,10,41
171.37,171.9,17,42
172,176.27,10,43
176.47,177.2,12,44
177.23,185.87,13,45
185.93,190.13,10,46
190.63,202.23,7,47
202.4,211.57,8,48
211.83,212.17,22,49
212.23,212.77,19,50
212.87,213.93,3,51
214.47,214.8,19,52
214.87,225.43,21,53
225.5,225.93,12,54
226.03,231.53,9,55
231.9,241.77,10,56
242.3,244.3,10,57
245.17,247.37,10,58
247.4,247.83,7,59
247.9,248.23,12,60
248.3,249.57,16,61
249.9,251.73,10,62
251.8,252.73,19,63
253.03,253.93,3,64
255.07,260.53,22,65
261.8,263.73,22,67
264.4,276.03,10,69
276.6,277.03,25,70
278.57,287.23,17,71
287.77,303.67,17,72
304.17,304.43,23,73
306.17,306.4,23,74
306.77,308.87,15,75
311.67,312.5,15,77
312.67,313.63,14,78
313.7,315.1,17,79
315.27,317.4,14,80
317.5,317.73,2,81
318.07,319.67,19,82
319.7,321.2,5,83
322.7,323.07,25,84
